business_id	day	open time	close time
KPoTixdjoJxSqRSEApSAGg	Saturday	11:00:00	22:00:00
KPoTixdjoJxSqRSEApSAGg	Thursday	11:00:00	21:00:00
KPoTixdjoJxSqRSEApSAGg	Monday	11:00:00	21:00:00
KPoTixdjoJxSqRSEApSAGg	Tuesday	11:00:00	21:00:00
KPoTixdjoJxSqRSEApSAGg	Wednesday	11:00:00	21:00:00
KPoTixdjoJxSqRSEApSAGg	Friday	11:00:00	22:00:00
KPoTixdjoJxSqRSEApSAGg	Sunday	17:00:00	21:00:00
MwmXm48K2g2oTRe7XmssFw	Saturday	10:00:00	17:00:00
MwmXm48K2g2oTRe7XmssFw	Thursday	10:00:00	17:00:00
MwmXm48K2g2oTRe7XmssFw	Monday	10:00:00	17:00:00
MwmXm48K2g2oTRe7XmssFw	Tuesday	10:00:00	17:00:00
MwmXm48K2g2oTRe7XmssFw	Wednesday	10:00:00	17:00:00
MwmXm48K2g2oTRe7XmssFw	Friday	10:00:00	17:00:00
MwmXm48K2g2oTRe7XmssFw	Sunday	10:00:00	17:00:00
M-4pyUDq6jWwDvvoQTIS-A	Thursday	11:00:00	21:00:00
M-4pyUDq6jWwDvvoQTIS-A	Monday	11:00:00	21:00:00
M-4pyUDq6jWwDvvoQTIS-A	Tuesday	11:00:00	21:00:00
M-4pyUDq6jWwDvvoQTIS-A	Wednesday	11:00:00	21:00:00
M-4pyUDq6jWwDvvoQTIS-A	Friday	11:00:00	21:00:00
-TIyxSc-lLmJzunje6MD9Q	Thursday	08:00:00	16:00:00
-TIyxSc-lLmJzunje6MD9Q	Monday	08:00:00	16:00:00
-TIyxSc-lLmJzunje6MD9Q	Tuesday	08:00:00	16:00:00
-TIyxSc-lLmJzunje6MD9Q	Wednesday	08:00:00	16:00:00
-TIyxSc-lLmJzunje6MD9Q	Friday	08:00:00	16:00:00
-PisznY2s13FyX3tASY4aA	Saturday	08:00:00	19:00:00
-PisznY2s13FyX3tASY4aA	Thursday	08:00:00	19:00:00
-PisznY2s13FyX3tASY4aA	Monday	08:00:00	19:00:00
-PisznY2s13FyX3tASY4aA	Tuesday	08:00:00	19:00:00
-PisznY2s13FyX3tASY4aA	Wednesday	08:00:00	19:00:00
-PisznY2s13FyX3tASY4aA	Friday	08:00:00	19:00:00
-PisznY2s13FyX3tASY4aA	Sunday	09:00:00	17:00:00
AkOruz5CrCxUmXe1p_WoRg	Saturday	11:00:00	22:30:00
